Hand plotting file for f:\raft\samfinal.hul             05:54:18      03-15-2010
X in.         Y in.         X in-eights   Y in-eights   X mm          Y mm
9.23          14.63         9-2/8         14-5/8        234.4         371.6
6.81          19.36         6-6/8         19-3/8        173.0         491.7
3.91          21.57         3-7/8         21-5/8        99.3          547.9
0.00          22.31         0-0/8         22-2/8        0.0           566.7
0.00          22.31         0-0/8         22-2/8        0.0           566.7
0.00          1.19          0-0/8         1-2/8         0.0           30.2
0.00          1.19          0-0/8         1-2/8         0.0           30.2
frame3.uc     __________    __________    __________    __________    __________
0.00          0.77          0-0/8         0-6/8         0.0           19.6
3.34          1.18          3-3/8         1-1/8         84.8          30.0
7.98          3.10          7-8/8         3-1/8         202.7         78.7
11.94         9.50          11-8/8        9-4/8         303.3         241.3
11.46         14.86         11-4/8        14-7/8        291.1         377.4
8.73          19.99         8-6/8         19-8/8        221.7         507.7
5.10          22.45         5-1/8         22-4/8        129.5         570.2
0.00          23.12         0-0/8         23-1/8        0.0           587.2
0.00          23.12         0-0/8         23-1/8        0.0           587.2
0.00          0.77          0-0/8         0-6/8         0.0           19.6
0.00          0.77          0-0/8         0-6/8         0.0           19.6
frame4.uc     __________    __________    __________    __________    __________
0.00          0.84          0-0/8         0-7/8         0.0           21.3
3.59          0.98          3-5/8         0-8/8         91.2          24.9
8.39          2.86          8-3/8         2-7/8         213.1         72.6
12.52         9.38          12-4/8        9-3/8         318.0         238.3
12.11         14.93         12-1/8        14-7/8        307.6         379.2
9.50          20.21         9-4/8         20-2/8        241.3         513.3
5.63          22.88         5-5/8         22-7/8        143.0         581.2
0.00          23.53         0-0/8         23-4/8        0.0           597.7
0.00          23.53         0-0/8         23-4/8        0.0           597.7
0.00          0.84          0-0/8         0-7/8         0.0           21.3
0.00          0.84          0-0/8         0-7/8         0.0           21.3
frame5.uc     __________    __________    __________    __________    __________
-0.01         0.98          -0-0/8        0-8/8         -0.3          24.9
3.61          1.16          3-5/8         1-1/8         91.7          29.5
7.99          3.09          7-8/8         3-1/8         202.9         78.5
11.96         9.48          11-8/8        9-4/8         303.8         240.8
11.58         14.85         11-5/8        14-7/8        294.1         377.2
9.16          20.12         9-1/8         20-1/8        232.7         511.0
5.50          22.78         5-4/8         22-6/8        139.7         578.6
0.00          23.49         0-0/8         23-4/8        0.0           596.6
0.00          23.49         0-0/8         23-4/8        0.0           596.6
0.00          0.98          0-0/8         0-8/8         0.0           24.9
-0.01         0.98          -0-0/8        0-8/8         -0.3          24.9
frame6.uc     __________    __________    __________    __________    __________
-0.01         1.31          -0-0/8        1-2/8         -0.3          33.3
3.30          1.77          3-2/8         1-6/8         83.8          45.0
6.92          3.71          6-7/8         3-6/8         175.8         94.2
